state,year,offense,count
ND,1993,violent-crime,338
ND,1994,aggravated-assault,161
ND,1994,arson,89
ND,1994,burglary,1569
ND,1994,larceny,10683
ND,1994,motor-vehicle-theft,774
ND,1994,property-crime,13115
ND,1994,rape,147
ND,1994,robbery,58
ND,1994,violent-crime,366
ND,1995,aggravated-assault,155
ND,1995,arson,86
ND,1995,burglary,1620
ND,1995,homicide,2
ND,1995,larceny,10074
ND,1995,motor-vehicle-theft,770
ND,1995,property-crime,12550
ND,1995,rape,132
ND,1995,robbery,47
ND,1995,violent-crime,336
ND,1996,aggravated-assault,161
ND,1996,arson,73
ND,1996,burglary,1425
ND,1996,homicide,9
ND,1996,larceny,8946
ND,1996,motor-vehicle-theft,824
ND,1996,property-crime,11268
ND,1996,rape,126
ND,1996,robbery,51
ND,1996,violent-crime,347
ND,1997,aggravated-assault,160
ND,1997,arson,69
ND,1997,burglary,1689
ND,1997,homicide,4
ND,1997,larceny,9809
ND,1997,motor-vehicle-theft,825
ND,1997,property-crime,12392
ND,1997,rape,130
ND,1997,robbery,33
ND,1997,violent-crime,327
ND,1998,aggravated-assault,157
ND,1998,arson,75
ND,1998,burglary,1759
ND,1998,homicide,5
ND,1998,larceny,9654
ND,1998,motor-vehicle-theft,831
ND,1998,property-crime,12319
ND,1998,rape,169
ND,1998,robbery,43
ND,1998,violent-crime,374
ND,1999,aggravated-assault,161
ND,1999,arson,68
ND,1999,burglary,1700
ND,1999,homicide,5
ND,1999,larceny,8073
ND,1999,motor-vehicle-theft,741
ND,1999,property-crime,10582
ND,1999,rape,151
ND,1999,robbery,50
ND,1999,violent-crime,367
ND,2000,aggravated-assault,196
ND,2000,arson,59
ND,2000,burglary,1520
ND,2000,homicide,3
ND,2000,larceny,8230
ND,2000,motor-vehicle-theft,764
ND,2000,property-crime,10573
ND,2000,rape,167
ND,2000,robbery,42
ND,2000,violent-crime,408
ND,2001,aggravated-assault,179
ND,2001,arson,94
ND,2001,burglary,1538
ND,2001,homicide,7
ND,2001,larceny,8607
ND,2001,motor-vehicle-theft,808
ND,2001,property-crime,11047
ND,2001,rape,156
ND,2001,robbery,46
ND,2001,violent-crime,388
ND,2002,aggravated-assault,190
ND,2002,arson,77
ND,2002,burglary,1708
ND,2002,homicide,2
ND,2002,larceny,8858
ND,2002,motor-vehicle-theft,782
ND,2002,property-crime,11425
ND,2002,rape,161
ND,2002,robbery,37
ND,2002,violent-crime,390
ND,2003,aggravated-assault,205
ND,2003,arson,65
ND,2003,burglary,1457
ND,2003,homicide,4
ND,2003,larceny,7967
ND,2003,motor-vehicle-theft,835
ND,2003,property-crime,10324
ND,2003,rape,161
ND,2003,robbery,34
ND,2003,violent-crime,404
ND,2004,aggravated-assault,261
ND,2004,arson,67
ND,2004,burglary,1755
ND,2004,homicide,7
ND,2004,larceny,8520
ND,2004,motor-vehicle-theft,815
ND,2004,property-crime,11157
ND,2004,rape,175
ND,2004,robbery,34
ND,2004,violent-crime,477
ND,2005,aggravated-assault,362
ND,2005,arson,69
ND,2005,burglary,1774
ND,2005,homicide,11
ND,2005,larceny,8808
ND,2005,motor-vehicle-theft,977
ND,2005,property-crime,11628
ND,2005,rape,194
ND,2005,robbery,47
ND,2005,violent-crime,614
ND,2006,aggravated-assault,428
ND,2006,arson,96
ND,2006,burglary,2064
ND,2006,homicide,7
ND,2006,larceny,8479
ND,2006,motor-vehicle-theft,934
ND,2006,property-crime,11573
ND,2006,rape,233
ND,2006,robbery,69
ND,2006,violent-crime,737
ND,2007,aggravated-assault,562
ND,2007,arson,86
ND,2007,burglary,1968
ND,2007,homicide,11
ND,2007,larceny,8399
ND,2007,motor-vehicle-theft,829
ND,2007,property-crime,11282
ND,2007,rape,233
ND,2007,robbery,67
ND,2007,violent-crime,873
ND,2008,aggravated-assault,657
ND,2008,arson,88
ND,2008,burglary,1987
ND,2008,homicide,2
ND,2008,larceny,9016
ND,2008,motor-vehicle-theft,807
ND,2008,property-crime,11898
ND,2008,rape,271
ND,2008,robbery,72
ND,2008,violent-crime,1002
ND,2009,aggravated-assault,703
ND,2009,arson,71
ND,2009,burglary,2149
ND,2009,homicide,9
ND,2009,larceny,8756
ND,2009,motor-vehicle-theft,812
ND,2009,property-crime,11788
ND,2009,rape,254
ND,2009,robbery,103
ND,2009,violent-crime,1069
ND,2010,aggravated-assault,767
ND,2010,arson,61
ND,2010,burglary,1769
ND,2010,homicide,8
ND,2010,larceny,8812
ND,2010,motor-vehicle-theft,726
ND,2010,property-crime,11368
ND,2010,rape,250
ND,2010,robbery,85
ND,2010,violent-crime,1110
ND,2011,aggravated-assault,883
ND,2011,arson,69
ND,2011,burglary,2095
ND,2011,homicide,11
ND,2011,larceny,9633
ND,2011,motor-vehicle-theft,859
ND,2011,property-crime,12656
ND,2011,rape,235
ND,2011,robbery,91
ND,2011,violent-crime,1220
ND,2012,aggravated-assault,985
ND,2012,arson,80
ND,2012,burglary,2212
ND,2012,homicide,10
ND,2012,larceny,10617
ND,2012,motor-vehicle-theft,1045
ND,2012,property-crime,13954
ND,2012,rape,289
ND,2012,robbery,117
ND,2012,violent-crime,1401
ND,2013,aggravated-assault,1062
ND,2013,arson,83
ND,2013,burglary,2537
ND,2013,homicide,10
ND,2013,larceny,10787
ND,2013,motor-vehicle-theft,1256
ND,2013,property-crime,14663
ND,2013,rape,288
ND,2013,robbery,151
ND,2013,violent-crime,1511
ND,2014,aggravated-assault,1065
ND,2014,arson,88
ND,2014,burglary,2424
ND,2014,homicide,15
ND,2014,larceny,11528
ND,2014,motor-vehicle-theft,1428
ND,2014,property-crime,15468
ND,2014,rape,322
ND,2014,robbery,168
ND,2014,violent-crime,1570
ND,2015,aggravated-assault,1112
ND,2015,arson,66
ND,2015,burglary,2914
ND,2015,homicide,16
ND,2015,larceny,12908
ND,2015,motor-vehicle-theft,1677
ND,2015,property-crime,17565
ND,2015,rape,349
ND,2015,robbery,157
ND,2015,violent-crime,1634
ND,2016,aggravated-assault,1060
ND,2016,arson,80
ND,2016,burglary,2915
ND,2016,homicide,14
ND,2016,larceny,12418
ND,2016,motor-vehicle-theft,1837
ND,2016,property-crime,17250
ND,2016,rape,320
ND,2016,robbery,181
ND,2016,violent-crime,1575
ND,2017,aggravated-assault,1110
ND,2017,arson,64
ND,2017,burglary,2549
ND,2017,homicide,9
ND,2017,larceny,12000
ND,2017,motor-vehicle-theft,1607
ND,2017,property-crime,16220
ND,2017,rape,348
ND,2017,robbery,183
ND,2017,violent-crime,1650
ND,2018,aggravated-assault,1185
ND,2018,arson,38
ND,2018,burglary,2421
ND,2018,homicide,13
ND,2018,larceny,11047
ND,2018,motor-vehicle-theft,1550
ND,2018,property-crime,15056
ND,2018,rape,353
ND,2018,robbery,158
ND,2018,violent-crime,1709
NE,1998,aggravated-assault,192
NE,1998,arson,79
NE,1998,burglary,948
NE,1998,homicide,3
NE,1998,larceny,6013
NE,1998,motor-vehicle-theft,426
NE,1998,property-crime,7466
NE,1998,rape,43
NE,1998,robbery,56
NE,1998,violent-crime,294
NE,1999,aggravated-assault,151
NE,1999,arson,65
NE,1999,burglary,1043
NE,1999,homicide,5
NE,1999,larceny,5955
NE,1999,motor-vehicle-theft,401
NE,1999,property-crime,7464
NE,1999,rape,56
NE,1999,robbery,48
NE,1999,violent-crime,260
NE,2000,aggravated-assault,135
NE,2000,arson,36
NE,2000,burglary,885
NE,2000,homicide,5
NE,2000,larceny,4872
NE,2000,motor-vehicle-theft,371
NE,2000,property-crime,6164
NE,2000,rape,31
NE,2000,robbery,34
NE,2000,violent-crime,205
NE,2001,aggravated-assault,147
NE,2001,arson,54
NE,2001,burglary,972
NE,2001,homicide,3
NE,2001,larceny,5867
NE,2001,motor-vehicle-theft,454
NE,2001,property-crime,7347
NE,2001,rape,56
NE,2001,robbery,26
NE,2001,violent-crime,232
NE,2002,aggravated-assault,207
NE,2002,arson,78
NE,2002,burglary,1784
NE,2002,homicide,3
NE,2002,larceny,8940
NE,2002,motor-vehicle-theft,766
NE,2002,property-crime,11568
NE,2002,rape,127
NE,2002,robbery,72
NE,2002,violent-crime,409
NE,2003,aggravated-assault,312
NE,2003,arson,89
NE,2003,burglary,1952
NE,2003,homicide,3
NE,2003,larceny,9701
NE,2003,motor-vehicle-theft,747
NE,2003,property-crime,12489
NE,2003,rape,177
NE,2003,robbery,47
NE,2003,violent-crime,539
NE,2004,aggravated-assault,370
NE,2004,arson,90
NE,2004,burglary,1835
NE,2004,homicide,10
NE,2004,larceny,9763
NE,2004,motor-vehicle-theft,742
NE,2004,property-crime,12430
NE,2004,rape,228
NE,2004,robbery,49
NE,2004,violent-crime,657
NE,2005,aggravated-assault,319
NE,2005,arson,72
NE,2005,burglary,1916
NE,2005,homicide,3
NE,2005,larceny,10043
NE,2005,motor-vehicle-theft,685
NE,2005,property-crime,12716
NE,2005,rape,236
NE,2005,robbery,54
NE,2005,violent-crime,612
NE,2006,aggravated-assault,277
NE,2006,arson,80
NE,2006,burglary,2025
NE,2006,homicide,6
NE,2006,larceny,10159
NE,2006,motor-vehicle-theft,704
NE,2006,property-crime,12968
NE,2006,rape,221
NE,2006,robbery,57
NE,2006,violent-crime,561
NE,2007,aggravated-assault,308
NE,2007,arson,86
NE,2007,burglary,1754
NE,2007,homicide,9
NE,2007,larceny,9755
NE,2007,motor-vehicle-theft,679
NE,2007,property-crime,12274
NE,2007,rape,196
NE,2007,robbery,59
NE,2007,violent-crime,572
NE,2008,aggravated-assault,354
NE,2008,arson,86
NE,2008,burglary,1997
