index,state,year,offense,count
13656,KY,2008,property-crime,9155
7790,KY,2008,rape,133
9256,KY,2008,robbery,177
12166,KY,2008,violent-crime,566
491,KY,2009,aggravated-assault,1698
10689,KY,2009,arson,482
1963,KY,2009,burglary,17226
6343,KY,2009,homicide,87
3445,KY,2009,larceny,40444
4921,KY,2009,motor-vehicle-theft,3251
13657,KY,2009,property-crime,61403
7791,KY,2009,rape,1587
9257,KY,2009,robbery,1223
12167,KY,2009,violent-crime,4595
492,KY,2010,aggravated-assault,1637
10690,KY,2010,arson,415
1964,KY,2010,burglary,18276
6344,KY,2010,homicide,92
3446,KY,2010,larceny,42559
4922,KY,2010,motor-vehicle-theft,3400
13658,KY,2010,property-crime,64650
7792,KY,2010,rape,1639
9258,KY,2010,robbery,1390
12168,KY,2010,violent-crime,4758
493,KY,2011,aggravated-assault,1838
10691,KY,2011,arson,410
1965,KY,2011,burglary,21670
6345,KY,2011,homicide,87
3447,KY,2011,larceny,50906
4923,KY,2011,motor-vehicle-theft,3950
13659,KY,2011,property-crime,76936
7793,KY,2011,rape,1780
9259,KY,2011,robbery,1688
12169,KY,2011,violent-crime,5393
494,KY,2012,aggravated-assault,2084
10692,KY,2012,arson,481
1966,KY,2012,burglary,21841
6346,KY,2012,homicide,127
3448,KY,2012,larceny,56577
4924,KY,2012,motor-vehicle-theft,4440
13660,KY,2012,property-crime,83339
7794,KY,2012,rape,1680
9260,KY,2012,robbery,2064
12170,KY,2012,violent-crime,5955
495,KY,2013,aggravated-assault,1984
10693,KY,2013,arson,395
1967,KY,2013,burglary,18978
6347,KY,2013,homicide,113
3449,KY,2013,larceny,53616
4925,KY,2013,motor-vehicle-theft,4097
13661,KY,2013,property-crime,77086
7795,KY,2013,rape,1568
9261,KY,2013,robbery,1833
12171,KY,2013,violent-crime,5498
496,KY,2014,aggravated-assault,2681
10694,KY,2014,arson,367
1968,KY,2014,burglary,21417
6348,KY,2014,homicide,137
3450,KY,2014,larceny,58737
4926,KY,2014,motor-vehicle-theft,5916
13662,KY,2014,property-crime,86437
7796,KY,2014,rape,1564
9262,KY,2014,robbery,2423
12172,KY,2014,violent-crime,6805
497,KY,2015,aggravated-assault,4072
10695,KY,2015,arson,354
1969,KY,2015,burglary,22116
6349,KY,2015,homicide,205
3451,KY,2015,larceny,69214
4927,KY,2015,motor-vehicle-theft,7879
13663,KY,2015,property-crime,99563
7797,KY,2015,rape,1708
9263,KY,2015,robbery,3339
12173,KY,2015,violent-crime,9324
498,KY,2016,aggravated-assault,4347
10696,KY,2016,arson,353
1970,KY,2016,burglary,20888
6350,KY,2016,homicide,245
3452,KY,2016,larceny,69620
